student_id,rubric_mean_percent,rubric_after_penalty_percent,rubric_sd_points,conventions_mistake_rate_percent,borda_points,borda_percent,composite_score,rank_sd,base_level,base_letter,adjusted_level,adjusted_letter,level_modifier,level_with_modifier,flags,consensus_rank
grade_8_10_literary_analysis_level_4_plus,75.89,75.89,3.07,5.23,42.0,1.0,0.8234,0.0,3,B,3,B,-,3-,rubric_sd,1
grade_8_10_literary_analysis_level_3,64.66,64.66,2.69,3.59,39.0,0.9286,0.7365,0.0,2,C,2,C,,2,rubric_sd,2
grade_6_7_argumentative_level_3,64.27,64.27,3.33,3.96,34.0,0.8095,0.7154,0.47,2,C,2,C,,2,rubric_sd,3
grade_8_10_literary_analysis_level_4,63.16,63.16,2.68,6.64,35.0,0.8333,0.7072,0.47,2,C,2,C,--,2--,rubric_sd,4
grade_8_10_literary_analysis_level_2,55.49,55.49,2.34,3.21,30.0,0.7143,0.6408,0.0,1,D,1,D,,1,rubric_sd,5
grade_6_7_argumentative_level_4_plus,54.86,54.86,2.44,3.95,27.0,0.6429,0.6245,0.0,1,D,1,D,,1,rubric_sd,6
grade_6_7_argumentative_level_4,52.79,52.79,2.57,6.22,23.0,0.5476,0.5923,0.47,1,D,1,D,--,1--,rubric_sd,7
grade_11_12_news_report_level_4_plus,51.16,51.16,3.66,4.29,22.0,0.5238,0.5803,0.47,1,D,1,D,-,1-,rubric_sd,8
grade_11_12_news_report_level_4,49.96,49.96,3.49,2.93,18.0,0.4286,0.5596,0.0,1,D,1,D,,1,rubric_sd,9
grade_8_10_literary_analysis_level_1,48.82,48.82,2.24,3.74,15.0,0.3571,0.5397,0.0,1,D,1,D,,1,rubric_sd,10
grade_6_7_argumentative_level_2,48.06,48.06,2.03,3.55,12.0,0.2857,0.524,0.0,1,D,1,D,,1,rubric_sd,11
grade_11_12_news_report_level_3,45.58,45.58,3.02,2.38,9.0,0.2143,0.4976,0.0,1,D,1,D,,1,rubric_sd,12
grade_11_12_news_report_level_2,44.37,44.37,2.93,3.97,6.0,0.1429,0.4761,0.0,1,D,1,D,,1,rubric_sd,13
grade_11_12_news_report_level_1,42.96,42.96,2.01,2.04,3.0,0.0714,0.4584,0.0,1,D,1,D,,1,rubric_sd,14
grade_6_7_argumentative_level_1,42.88,42.88,1.9,5.97,0.0,0.0,0.4412,0.0,1,D,1,D,-,1-,rubric_sd,15
